problem,algorithm,layer,depolarizing_noise,thermal_relaxation_noise,relative_performance
Partition,WSQAOA,2,0.25,1.0,0.9653172450582178
Partition,WSQAOA,2,0.5,0.0,0.9840465303243802
Partition,WSQAOA,2,0.5,0.25,0.9759317804592034
Partition,WSQAOA,2,0.5,0.5,0.9695185405511522
Partition,WSQAOA,2,0.5,0.75,0.9646412025775
Partition,WSQAOA,2,0.5,1.0,0.9603585265197432
Partition,WSQAOA,2,0.75,0.0,0.9754248681819481
Partition,WSQAOA,2,0.75,0.25,0.969273261139745
Partition,WSQAOA,2,0.75,0.5,0.9635884256873012
Partition,WSQAOA,2,0.75,0.75,0.960108392216582
Partition,WSQAOA,2,0.75,1.0,0.955551550497813
Partition,WSQAOA,2,1.0,0.0,0.9691516387913398
Partition,WSQAOA,2,1.0,0.25,0.9640782307493545
Partition,WSQAOA,2,1.0,0.5,0.9601617466245497
Partition,WSQAOA,2,1.0,0.75,0.9559806741079789
Partition,WSQAOA,2,1.0,1.0,0.9517478403532215
Partition,WSQAOA,3,0.0,0.0,0.9915775485749448
Partition,WSQAOA,3,0.0,0.25,0.9801399823981218
Partition,WSQAOA,3,0.0,0.5,0.9753647987381794
Partition,WSQAOA,3,0.0,0.75,0.9723173960343698
Partition,WSQAOA,3,0.0,1.0,0.9731942476440092
Partition,WSQAOA,3,0.25,0.0,0.981597347268209
Partition,WSQAOA,3,0.25,0.25,0.9762072277851174
Partition,WSQAOA,3,0.25,0.5,0.9726570534236756
Partition,WSQAOA,3,0.25,0.75,0.9689166927975926
Partition,WSQAOA,3,0.25,1.0,0.9685712069445661
Partition,WSQAOA,3,0.5,0.0,0.9757023425543122
Partition,WSQAOA,3,0.5,0.25,0.971389170687775
Partition,WSQAOA,3,0.5,0.5,0.9688917727342364
Partition,WSQAOA,3,0.5,0.75,0.9670426151494151
Partition,WSQAOA,3,0.5,1.0,0.9642939533607268
Partition,WSQAOA,3,0.75,0.0,0.971359140966216
Partition,WSQAOA,3,0.75,0.25,0.9699511982875335
Partition,WSQAOA,3,0.75,0.5,0.967813376598156
Partition,WSQAOA,3,0.75,0.75,0.9657719635004017
Partition,WSQAOA,3,0.75,1.0,0.9636237233224656
Partition,WSQAOA,3,1.0,0.0,0.970150675535941
Partition,WSQAOA,3,1.0,0.25,0.9687040580873929
Partition,WSQAOA,3,1.0,0.5,0.9671500133771601
Partition,WSQAOA,3,1.0,0.75,0.9652955950095283
Partition,WSQAOA,3,1.0,1.0,0.9615670472317774
Partition,WS-Init-QAOA,2,0.0,0.0,1.0071831853181084
Partition,WS-Init-QAOA,2,0.0,0.25,1.0012315307313633
Partition,WS-Init-QAOA,2,0.0,0.5,0.9956441140351093
Partition,WS-Init-QAOA,2,0.0,0.75,0.9888093903694577
Partition,WS-Init-QAOA,2,0.0,1.0,0.9818553888711038
Partition,WS-Init-QAOA,2,0.25,0.0,1.0049920887262216
Partition,WS-Init-QAOA,2,0.25,0.25,0.9961180244169573
Partition,WS-Init-QAOA,2,0.25,0.5,0.9918541841369881
Partition,WS-Init-QAOA,2,0.25,0.75,0.9823666866504743
Partition,WS-Init-QAOA,2,0.25,1.0,0.9765106325932781
Partition,WS-Init-QAOA,2,0.5,0.0,0.9973355845208116
Partition,WS-Init-QAOA,2,0.5,0.25,0.9913819481172845
Partition,WS-Init-QAOA,2,0.5,0.5,0.9863958145052412
Partition,WS-Init-QAOA,2,0.5,0.75,0.9810134562594743
Partition,WS-Init-QAOA,2,0.5,1.0,0.9735653382554226
Partition,WS-Init-QAOA,2,0.75,0.0,0.992766089585999
Partition,WS-Init-QAOA,2,0.75,0.25,0.9871712880355688
Partition,WS-Init-QAOA,2,0.75,0.5,0.9831572356308347
Partition,WS-Init-QAOA,2,0.75,0.75,0.9757858587767477
Partition,WS-Init-QAOA,2,0.75,1.0,0.9745324032019054
Partition,WS-Init-QAOA,2,1.0,0.0,0.9871764071720202
Partition,WS-Init-QAOA,2,1.0,0.25,0.9823607896316453
Partition,WS-Init-QAOA,2,1.0,0.5,0.9785877640055255
Partition,WS-Init-QAOA,2,1.0,0.75,0.9747082437943562
